"","School","City","Killed","Wounded"
"May 24, 1993","Upper Perkiomen High School","Pennsburg, PA","1","0"
"Sep 17, 1993","Central Junior High School","Sheridan, WY","1","4"
"Nov 4, 1993","New Britain High School","New Britain, CT","1","0"
"Dec 1, 1993","Wauwatosa West High School","Wauwatosa, WI","1","0"
"Jan 24, 1994","Eau Claire High School","Columbia, SC","1","0"
"Jan 31, 1994","Whitman Middle School","Seattle, WA","1","0"
"Feb 18, 1994","Spartanburg High School","Spartanburg, SC","0","1"
"Mar 1, 1994","Kemper Military School and College","Boonville, MO","2","0"
"Apr 12, 1994","Margaret Leary Elementary School","Butte, MT","1","0"
"Apr 21, 1994","J.T. Moore Middle School","Nashville, TN","1","0"
"Oct 12, 1994","Grimsley High School","Greensboro, NC","1","1"
"Oct 17, 1994","Hubbard High School","Chicago, IL","0","1"
"Nov 7, 1994","Wickliffe Middle School","Wickliffe, OH","1","4"
"Jan 12, 1995","Garfield High School","Seattle, WA","0","2"
"Sep 29, 1995","Tavares Middle School","Tavares, FL","1","0"
"Oct 12, 1995","Blackville-Hilda High School","Blackville, SC","2","1"
"Nov 15, 1995","Richland High School","Lynnville, TN","2","1"
"Jan 19, 1996","Winston Education Center","Washington, D.C.","1","0"
"Feb 2, 1996","Frontier Middle School","Moses Lake, WA","3","1"
"Feb 29, 1996","Beaumont High School bus","St. Louis, MO","1","1"
"Sep 25, 1996","Dekalb Alternative School","Decatur, GA","1","2"
"Oct 9, 1996","Jacksonville High School bus","Sherwood, AR","1","0"
"Jan 27, 1997","Conniston Middle School","West Palm Beach, FL","1","0"
"Feb 19, 1997","Bethel Regional High School","Bethel, AK","2","2"
"Oct 1, 1997","Pearl High School","Pearl, MS","3","7"
