Speaker,Season,Episode,SeriesNumber,EpisodeCount,EpisodeTotal,EpisodePct
Dwight,9,18,181,37,270,0.137037037
Dwight,9,19,182,61,246,0.24796748
Dwight,9,20,183,21,195,0.107692308
Dwight,9,21,184,54,333,0.162162162
Dwight,9,22,185,89,444,0.20045045
Dwight,9,23,186,76,432,0.175925926
Jim,1,1,1,37,262,0.141221374
Jim,1,2,2,35,245,0.142857143
Jim,1,3,3,57,313,0.182108626
Jim,1,4,4,63,354,0.177966102
Jim,1,5,5,27,285,0.094736842
Jim,1,6,6,66,360,0.183333333
Jim,2,1,7,43,381,0.112860892
Jim,2,2,8,22,289,0.076124567
Jim,2,3,9,72,375,0.192
Jim,2,4,10,67,370,0.181081081
Jim,2,5,11,31,325,0.095384615
Jim,2,6,12,54,310,0.174193548
Jim,2,7,13,52,285,0.18245614
Jim,2,8,14,48,401,0.119700748
Jim,2,9,15,62,344,0.180232558
Jim,2,10,16,28,337,0.083086053
Jim,2,11,17,32,286,0.111888112
Jim,2,12,18,62,385,0.161038961
Jim,2,13,19,53,299,0.177257525
Jim,2,14,20,37,324,0.114197531
Jim,2,15,21,24,298,0.080536913
Jim,2,16,22,25,203,0.123152709
Jim,2,17,23,36,252,0.142857143
Jim,2,18,24,25,245,0.102040816
Jim,2,19,25,23,262,0.08778626
Jim,2,20,26,27,277,0.097472924
Jim,2,21,27,37,286,0.129370629
Jim,2,22,28,53,367,0.144414169
Jim,3,1,29,13,171,0.076023392
Jim,3,2,30,33,288,0.114583333
Jim,3,3,31,17,275,0.061818182
Jim,3,4,32,19,290,0.065517241
Jim,3,5,33,47,292,0.160958904
Jim,3,6,34,24,237,0.101265823
Jim,3,7,35,21,240,0.0875
Jim,3,8,36,81,514,0.157587549
Jim,3,9,37,31,165,0.187878788
Jim,3,10,38,45,468,0.096153846
Jim,3,11,39,33,303,0.108910891
Jim,3,12,40,39,228,0.171052632
Jim,3,13,41,25,190,0.131578947
Jim,3,14,42,25,188,0.132978723
Jim,3,15,43,19,152,0.125
Jim,3,16,44,20,220,0.090909091
Jim,3,17,45,22,283,0.077738516
Jim,3,18,46,41,339,0.120943953
Jim,3,19,47,31,360,0.086111111
Jim,3,20,48,74,345,0.214492754
Jim,3,21,49,33,306,0.107843137
Jim,3,22,50,30,339,0.088495575
Jim,3,23,51,65,449,0.144766147
Jim,4,1,52,53,540,0.098148148
Jim,4,2,53,48,585,0.082051282
Jim,4,3,54,71,552,0.128623188
Jim,4,4,55,52,505,0.102970297
Jim,4,5,56,47,258,0.182170543
Jim,4,6,57,78,294,0.265306122
Jim,4,7,58,69,273,0.252747253
Jim,4,8,59,27,251,0.107569721
Jim,4,9,60,42,316,0.132911392
Jim,4,10,61,26,254,0.102362205
Jim,4,11,62,43,335,0.128358209
Jim,4,12,63,31,308,0.100649351
Jim,4,13,64,21,191,0.109947644
Jim,4,14,65,77,607,0.126853377
Jim,5,1,66,71,551,0.128856624
Jim,5,2,67,29,256,0.11328125
Jim,5,3,68,28,311,0.090032154
Jim,5,4,69,36,290,0.124137931
Jim,5,5,70,25,430,0.058139535
Jim,5,6,71,112,400,0.28
Jim,5,7,72,22,287,0.076655052
Jim,5,8,73,31,262,0.118320611
Jim,5,9,74,31,304,0.101973684
Jim,5,10,75,26,234,0.111111111
Jim,5,11,76,34,281,0.120996441
Jim,5,12,77,14,223,0.062780269
Jim,5,13,78,35,374,0.093582888
Jim,5,14,79,34,200,0.17
Jim,5,15,80,33,236,0.139830508
Jim,5,16,81,37,250,0.148
Jim,5,17,82,39,282,0.138297872
Jim,5,18,83,30,206,0.145631068
Jim,5,19,84,26,231,0.112554113
Jim,5,20,85,35,244,0.143442623
Jim,5,21,86,28,232,0.120689655
Jim,5,22,87,27,274,0.098540146
Jim,5,23,88,30,199,0.150753769
Jim,5,24,89,29,319,0.090909091
Jim,5,25,90,17,276,0.061594203
Jim,5,26,91,24,218,0.110091743
Jim,6,1,92,44,313,0.14057508
